Auto_Created_Unknown: IL-1β
Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV,Detection Range
Nig 13.2,H06,218056.0,218056.0,NaN,1697.5989711613315,1697.5989711613315,NaN,In Detection Range
Nig 13.3,A07,285495.0,285495.0,NaN,2240.059157158242,2240.059157158242,NaN,In Detection Range
Nig 13.4,B07,280912.0,280912.0,NaN,2203.065951221658,2203.065951221658,NaN,In Detection Range
Nig 13.5,C07,233303.0,233303.0,NaN,1819.8638738456418,1819.8638738456418,NaN,In Detection Range
Nig 14.1,D07,265530.0,265530.0,NaN,2079.0345620942912,2079.0345620942912,NaN,In Detection Range
Nig 14.2,E07,277135.0,277135.0,NaN,2172.591784204852,2172.591784204852,NaN,In Detection Range
Nig 14.3,F07,258659.0,258659.0,NaN,2023.6973908968669,2023.6973908968669,NaN,In Detection Range
Nig 14.4,G07,301768.0,301768.0,NaN,2371.5495744621567,2371.5495744621567,NaN,In Detection Range
Nig 14.5,H07,237813.0,237813.0,NaN,1856.0742596747873,1856.0742596747873,NaN,In Detection Range
Nig 15.1,A08,303339.0,303339.0,NaN,2384.254782505339,2384.254782505339,NaN,In Detection Range
Nig 15.2,B08,281254.0,281254.0,NaN,2205.825916852074,2205.825916852074,NaN,In Detection Range
Nig 15.3,C08,268795.0,268795.0,NaN,2105.3445909788006,2105.3445909788006,NaN,In Detection Range
Nig 15.4,D08,284743.0,284743.0,NaN,2233.987950587984,2233.987950587984,NaN,In Detection Range
Nig 15.5,E08,232409.0,232409.0,NaN,1812.688416081546,1812.688416081546,NaN,In Detection Range
Nig 16.1,F08,273136.0,273136.0,NaN,2140.3395675483057,2140.3395675483057,NaN,In Detection Range
Nig 16.2,G08,292543.0,292543.0,NaN,2296.9829707926206,2296.9829707926206,NaN,In Detection Range
Nig 16.3,H08,272228.0,272228.0,NaN,2133.018382866097,2133.018382866097,NaN,In Detection Range
Nig 16.4,A09,303369.0,303369.0,NaN,2384.4974212837697,2384.4974212837697,NaN,In Detection Range
Nig 16.5,B09,232206.0,232206.0,NaN,1811.059200458216,1811.059200458216,NaN,In Detection Range
Nig 17.1,C09,277288.0,277288.0,NaN,2173.826009204525,2173.826009204525,NaN,In Detection Range
Nig 17.2,D09,283923.0,283923.0,NaN,2227.3682821319544,2227.3682821319544,NaN,In Detection Range
Nig 17.3,E09,262746.0,262746.0,NaN,2056.607923405623,2056.607923405623,NaN,In Detection Range
Nig 17.4,F09,286676.0,286676.0,NaN,2249.5947940235537,2249.5947940235537,NaN,In Detection Range
Nig 17.5,G09,236585.0,236585.0,NaN,1846.2127766730155,1846.2127766730155,NaN,In Detection Range
Nig 18.1,H09,270765.0,270765.0,NaN,2121.2237345223225,2121.2237345223225,NaN,In Detection Range
Nig 18.2,A10,286046.0,286046.0,NaN,2244.5079023269614,2244.5079023269614,NaN,In Detection Range
Nig 18.3,B10,255376.0,255376.0,NaN,1997.2719493313357,1997.2719493313357,NaN,In Detection Range
Nig 18.4,C10,281313.0,281313.0,NaN,2206.302061122401,2206.302061122401,NaN,In Detection Range
Nig 18.5,D10,228190.0,228190.0,NaN,1778.8365168820908,1778.8365168820908,NaN,In Detection Range
Nig 19.1,E10,264958.0,264958.0,NaN,2074.4262319142067,2074.4262319142067,NaN,In Detection Range
Nig 19.2,F10,274637.0,274637.0,NaN,2152.4436443917953,2152.4436443917953,NaN,In Detection Range
Nig 19.3,G10,274776.0,274776.0,NaN,2153.5646387472484,2153.5646387472484,NaN,In Detection Range
Nig 19.4,A11,302325.0,302325.0,NaN,2376.0540023324966,2376.0540023324966,NaN,In Detection Range
Nig 19.5,H10,234604.0,234604.0,NaN,1830.3074286511294,1830.3074286511294,NaN,In Detection Range
Nig 20.1,B11,266956.0,266956.0,NaN,2090.5244120287007,2090.5244120287007,NaN,In Detection Range
Nig 20.2,C11,282750.0,282750.0,NaN,2217.899891622102,2217.899891622102,NaN,In Detection Range
Nig 20.3,D11,256448.0,256448.0,NaN,2005.8995901513001,2005.8995901513001,NaN,In Detection Range
Nig 20.4,E11,283100.0,283100.0,NaN,2220.724953025377,2220.724953025377,NaN,In Detection Range
Nig 20.5,F11,230748.0,230748.0,NaN,1799.35895088346,1799.35895088346,NaN,In Detection Range
Nig 21.1,G11,284446.0,284446.0,NaN,2231.5902750008327,2231.5902750008327,NaN,In Detection Range
Nig 21.2,H11,284631.0,284631.0,NaN,2233.083768104352,2233.083768104352,NaN,In Detection Range
Nig 21.3,A12,280066.0,280066.0,NaN,2196.2390867377585,2196.2390867377585,NaN,In Detection Range
Nig 21.4,B12,290914.0,290914.0,NaN,2283.8226314422996,2283.8226314422996,NaN,In Detection Range
Nig 21.5,C12,213408.0,213408.0,NaN,1660.375154590251,1660.375154590251,NaN,In Detection Range
Nig 22.1,D12,260900.0,260900.0,NaN,2041.7411751473655,2041.7411751473655,NaN,In Detection Range
Nig 22.2,E12,265697.0,265697.0,NaN,2080.380055400678,2080.380055400678,NaN,In Detection Range
Nig 22.3,F12,249781.0,249781.0,NaN,1952.2595269414253,1952.2595269414253,NaN,In Detection Range
Nig 22.4,G12,290456.0,290456.0,NaN,2280.1229330613296,2280.1229330613296,NaN,In Detection Range
Nig 22.5,H12,231466.0,231466.0,NaN,1805.1205362803628,1805.1205362803628,NaN,In Detection Range
